,id,avg_likes_per_orig_tweet,avg_retweets_per_orig_tweet,following_count,followers_count,female_pct_follower,female_pct_friend,twitter,gender,asstprof,assocprof,prof,academic,yrs_on_twitter,origtweets_year,new_following_year,followers_year,orig_likes_year,orig_rt_year,follower_to_following_ratio
117,117,2.45210728,1.832229581,143,609,0.374100719,0.525179856,1,male,0,1,0,1,10.25,210.14635,13.95122,59.414635,515.3014,385.03635,4.2587414
118,118,7.26652221,3.837837838,201,1328,0.307194826,0.214285714,1,male,0,0,1,1,5.25,193.33333,38.285713,252.95238,1404.861,741.98193,6.606965
119,119,1.726550079,1.920844327,1085,1171,0.46826127,0.480494767,1,male,1,0,0,1,7.75,274.96774,140,151.09677,474.74557,528.1702,1.0792626
120,120,1,1.166666667,118,85,0.243243243,0.254716981,1,female,0,0,0,,10.25,39.02439,11.512196,8.292683,39.02439,45.528458,0.720339
121,121,2.367588933,1.755555556,123,141,0.374045802,0.393442623,1,male,1,0,0,1,2.3333333,269.14285,52.714287,60.42857,637.21967,472.49524,1.1463414
122,122,2.482315113,1.880952381,939,1874,0.507754164,0.497231451,1,female,0,1,0,1,5.4166665,283.56924,173.35385,345.96924,703.9082,533.38025,1.9957402
123,123,2.74025974,1.8,196,129,0.585365854,0.454545455,1,female,1,0,0,1,4.6666665,25.928572,42,27.642857,71.05102,46.67143,0.65816325
124,124,3.839160839,2.606060606,164,208,0.625,0.66025641,1,male,0,0,0,,3.4166667,88.68293,48,60.878048,340.46802,231.11308,1.2682927
125,125,8.036671368,4.354014599,272,1738,0.450563204,0.56043956,1,female,0,0,1,1,4.1666665,200.4,65.28,417.12,1610.549,872.5445,6.3897057
126,126,2.125,1.666666667,84,82,0.513157895,0.530864198,1,female,0,0,1,1,2.3333333,11.571428,36,35.142857,24.589285,19.285713,0.97619045
127,127,0,0,34,13,0.416666667,0.575757576,1,female,1,0,0,1,5.3333335,0.1875,6.375,2.4375,0,0,0.38235295
128,128,4.06,3.025974026,78,517,0.4,0.376623377,1,male,1,0,0,1,5.25,39.238094,14.857142,98.47619,159.30666,118.73345,6.6282053
129,129,3.519642857,2.601398601,1465,5836,0.606212618,0.672929715,1,female,1,0,0,1,5.3333335,127.3125,274.6875,1094.25,448.09454,331.19055,3.9836178
130,130,4.625,1.75,217,92,0.556962025,0.617346939,1,female,0,0,0,,5.25,5.5238094,41.333332,17.52381,25.547619,9.666666,0.42396313
131,131,3.935813275,2.668539326,277,1051,0.378914405,0.297101449,1,male,1,0,0,1,5.3333335,419.8125,51.9375,197.0625,1652.3036,1120.2861,3.7942238
132,132,3.640934844,2.659436009,3666,11921,,0.350443951,1,female,0,0,1,1,7.25,279.72415,505.65518,1644.2759,1018.4574,743.9085,3.251773
